employer_id,company_name,industry,preferred_skills,company_size,location,jobs_posted,total_spent,average_rating,hired_freelancers,member_since,project_completion_rate,on_time_payment_rate
E00001,Company_1,Tech,"React, Node.js",Large,Tokyo,53,200034,3.8,13,08-02-2015,88%,100%
E00002,Company_2,Tech,Project Management,Medium,Berlin,97,91183,3.8,18,08-04-2018,87%,91%
E00003,Company_3,Manufacturing,"React, Node.js",Large,Berlin,13,84978,4.2,39,23-09-2018,96%,99%
E00004,Company_4,Healthcare,Project Management,Small,Tokyo,95,397648,4.2,36,19-12-2022,100%,93%
E00005,Company_5,Retail,Project Management,Small,New York,43,312103,3.7,30,08-05-2021,91%,100%
E00006,Company_6,Healthcare,Data Analysis,Small,London,37,409944,3.6,46,08-10-2017,85%,100%
E00007,Company_7,Manufacturing,"Python, Java",Large,London,19,78826,4.2,31,16-02-2018,87%,90%
E00008,Company_8,Tech,Project Management,Small,London,83,340013,4.9,33,27-03-2022,91%,91%
E00009,Company_9,Tech,Data Analysis,Small,London,11,210321,4.1,20,04-03-2016,95%,97%
E00010,Company_10,Manufacturing,UI/UX Design,Medium,London,30,76034,4,20,16-12-2020,86%,100%
E00011,Company_11,Manufacturing,UI/UX Design,Large,London,10,182727,4.3,28,14-02-2016,82%,100%
E00012,Company_12,Tech,UI/UX Design,Small,Tokyo,49,49878,3.6,18,04-09-2017,90%,93%
E00013,Company_13,Manufacturing,UI/UX Design,Large,San Francisco,90,231462,3.8,27,27-11-2015,90%,90%
E00014,Company_14,Manufacturing,"React, Node.js",Large,London,62,308339,4.1,34,01-12-2020,83%,90%
E00015,Company_15,Manufacturing,Data Analysis,Small,New York,79,21277,4.4,38,14-11-2021,92%,97%
E00016,Company_16,Retail,UI/UX Design,Medium,London,93,190332,4.6,24,24-09-2021,80%,95%
E00017,Company_17,Finance,"React, Node.js",Small,San Francisco,70,206000,4.4,32,13-11-2018,94%,99%
E00018,Company_18,Finance,Data Analysis,Small,Berlin,42,278587,4.5,18,13-03-2019,80%,95%
E00019,Company_19,Tech,Project Management,Large,New York,27,119167,4.4,29,25-10-2022,99%,95%
E00020,Company_20,Manufacturing,Project Management,Medium,London,51,343216,4.3,50,31-07-2022,90%,99%
E00021,Company_21,Manufacturing,Project Management,Large,Berlin,23,155730,4.4,5,31-05-2016,86%,100%
E00022,Company_22,Tech,Project Management,Medium,New York,22,449511,5,3,07-07-2017,91%,96%
E00023,Company_23,Retail,Data Analysis,Large,Berlin,34,118971,4.7,15,24-10-2016,100%,97%
E00024,Company_24,Tech,Data Analysis,Medium,New York,80,395079,4.7,37,06-02-2019,86%,95%
E00025,Company_25,Retail,"React, Node.js",Large,San Francisco,22,344981,4,19,15-04-2019,83%,91%
E00026,Company_26,Retail,Project Management,Small,San Francisco,9,351652,3.7,3,23-08-2017,85%,99%
E00027,Company_27,Tech,"React, Node.js",Medium,London,53,73714,3.5,19,11-01-2022,90%,100%
E00028,Company_28,Tech,UI/UX Design,Small,London,65,242525,5,24,15-10-2020,99%,93%
E00029,Company_29,Finance,Data Analysis,Small,Tokyo,60,421179,4.1,12,03-12-2021,100%,99%
E00030,Company_30,Finance,"React, Node.js",Small,Tokyo,36,122280,3.5,44,06-01-2017,89%,93%
E00031,Company_31,Manufacturing,Data Analysis,Large,San Francisco,39,81767,4.4,39,27-05-2016,82%,98%
E00032,Company_32,Healthcare,Project Management,Medium,Tokyo,36,316910,3.6,41,10-04-2022,82%,95%
E00033,Company_33,Finance,"React, Node.js",Medium,New York,78,348343,4.3,12,13-03-2015,86%,92%
E00034,Company_34,Manufacturing,"React, Node.js",Medium,New York,12,105199,3.6,8,18-09-2017,81%,90%
E00035,Company_35,Healthcare,"Python, Java",Medium,New York,61,111828,4.6,50,29-04-2020,93%,94%
E00036,Company_36,Healthcare,UI/UX Design,Medium,Tokyo,30,325232,4.4,49,25-02-2020,83%,97%
E00037,Company_37,Retail,UI/UX Design,Medium,Berlin,86,496852,4.8,9,03-04-2015,88%,90%
E00038,Company_38,Retail,"React, Node.js",Large,London,80,334951,4.9,10,26-03-2015,92%,96%
E00039,Company_39,Manufacturing,UI/UX Design,Medium,Berlin,76,256344,3.9,46,14-01-2020,100%,91%
E00040,Company_40,Finance,"Python, Java",Large,London,36,488154,4.3,40,30-11-2018,90%,100%
E00041,Company_41,Retail,Project Management,Medium,New York,29,99987,4.8,39,23-05-2017,83%,96%
E00042,Company_42,Manufacturing,Data Analysis,Small,Berlin,87,74795,3.6,24,27-08-2020,88%,91%
E00043,Company_43,Finance,Project Management,Small,Berlin,72,12800,4.4,4,22-12-2019,90%,98%
E00044,Company_44,Healthcare,Data Analysis,Medium,San Francisco,50,123930,4.2,45,07-11-2015,84%,95%
E00045,Company_45,Retail,Project Management,Large,New York,24,37048,4.4,42,30-05-2017,90%,96%
E00046,Company_46,Finance,Project Management,Medium,San Francisco,92,285128,3.9,31,15-03-2021,98%,91%
E00047,Company_47,Healthcare,"React, Node.js",Medium,London,27,50159,4.8,48,24-05-2019,97%,90%
E00048,Company_48,Finance,"React, Node.js",Small,Tokyo,98,155377,4.8,33,02-11-2019,88%,93%
E00049,Company_49,Finance,UI/UX Design,Small,London,99,495454,4.4,26,23-11-2018,88%,94%
E00050,Company_50,Finance,Data Analysis,Large,New York,61,92684,4.4,44,12-09-2016,93%,93%
E00051,Company_51,Retail,Project Management,Small,Tokyo,40,344240,4.4,9,22-01-2021,99%,100%
E00052,Company_52,Healthcare,Data Analysis,Medium,San Francisco,33,344588,3.9,35,18-10-2018,91%,98%
E00053,Company_53,Tech,"React, Node.js",Large,Berlin,55,151751,4.2,42,11-12-2021,92%,95%
E00054,Company_54,Healthcare,"Python, Java",Medium,San Francisco,35,443004,4.1,44,21-06-2015,98%,90%
E00055,Company_55,Manufacturing,"React, Node.js",Small,London,56,361585,5,14,26-07-2015,86%,100%
E00056,Company_56,Finance,UI/UX Design,Medium,London,66,16822,4.1,27,03-12-2016,86%,100%
E00057,Company_57,Manufacturing,"React, Node.js",Large,London,18,91679,4.7,30,01-05-2019,97%,90%
E00058,Company_58,Manufacturing,Data Analysis,Large,Tokyo,34,442232,5,16,11-04-2015,82%,95%
E00059,Company_59,Finance,Data Analysis,Medium,Tokyo,43,223076,4.2,23,16-06-2022,88%,94%
E00060,Company_60,Finance,Project Management,Small,Tokyo,42,224165,3.9,30,09-09-2017,100%,100%
E00061,Company_61,Healthcare,Data Analysis,Small,New York,27,441279,4,3,20-09-2022,91%,95%
E00062,Company_62,Manufacturing,"React, Node.js",Medium,Tokyo,6,152304,4.3,26,13-11-2022,98%,99%
E00063,Company_63,Manufacturing,"React, Node.js",Large,New York,45,222059,4.3,40,14-05-2020,98%,92%
E00064,Company_64,Healthcare,"React, Node.js",Small,Tokyo,98,80737,3.7,4,04-07-2021,95%,97%
E00065,Company_65,Retail,"React, Node.js",Small,San Francisco,81,417305,4.8,35,29-04-2015,94%,97%
E00066,Company_66,Tech,Data Analysis,Small,Berlin,28,350522,4.3,13,07-08-2018,93%,92%
E00067,Company_67,Manufacturing,Data Analysis,Large,Berlin,72,85982,5,37,27-02-2016,97%,96%
E00068,Company_68,Manufacturing,"Python, Java",Large,London,82,177743,4.9,34,07-03-2021,86%,92%
E00069,Company_69,Finance,Data Analysis,Large,Tokyo,56,379473,3.7,8,29-10-2020,99%,96%
E00070,Company_70,Healthcare,Data Analysis,Medium,Berlin,31,148034,4.9,5,16-11-2022,96%,96%
E00071,Company_71,Finance,UI/UX Design,Small,New York,66,139809,3.6,3,06-12-2015,86%,93%
E00072,Company_72,Manufacturing,"React, Node.js",Small,Berlin,52,349066,4.6,37,08-01-2022,91%,100%
E00073,Company_73,Manufacturing,UI/UX Design,Medium,San Francisco,71,485473,4.8,22,31-07-2020,89%,93%
E00074,Company_74,Healthcare,"React, Node.js",Small,Berlin,24,301864,3.6,44,19-12-2015,91%,96%
E00075,Company_75,Healthcare,Project Management,Small,San Francisco,76,56646,4.2,19,27-11-2022,80%,98%
E00076,Company_76,Finance,Project Management,Small,Tokyo,65,354578,4.7,26,17-07-2017,95%,99%
E00077,Company_77,Manufacturing,Project Management,Small,San Francisco,44,303995,4,41,13-08-2017,87%,98%
E00078,Company_78,Finance,Project Management,Small,Berlin,41,196086,5,43,07-12-2018,94%,90%
E00079,Company_79,Finance,"React, Node.js",Large,New York,77,346466,3.6,43,13-05-2017,88%,96%
E00080,Company_80,Healthcare,UI/UX Design,Small,San Francisco,42,145693,4.3,8,23-09-2016,93%,98%
E00081,Company_81,Manufacturing,Project Management,Medium,New York,24,106112,4.7,6,14-06-2020,94%,94%
E00082,Company_82,Retail,Data Analysis,Medium,Berlin,95,293007,4.6,50,27-11-2018,81%,100%
E00083,Company_83,Tech,"React, Node.js",Medium,London,29,205008,3.9,48,19-08-2015,83%,91%
E00084,Company_84,Retail,Project Management,Small,San Francisco,63,263405,3.9,43,29-03-2017,93%,98%
E00085,Company_85,Tech,"React, Node.js",Large,New York,34,171413,4.1,15,27-03-2016,90%,94%
E00086,Company_86,Retail,UI/UX Design,Large,London,91,487714,4.8,21,10-01-2017,92%,97%
E00087,Company_87,Tech,Data Analysis,Medium,Tokyo,100,222952,3.7,26,26-07-2015,91%,100%
E00088,Company_88,Healthcare,"Python, Java",Medium,New York,58,107823,4.5,17,25-12-2017,94%,99%
E00089,Company_89,Retail,"React, Node.js",Small,Berlin,98,215206,3.7,14,02-05-2015,85%,95%
E00090,Company_90,Manufacturing,UI/UX Design,Large,San Francisco,14,204753,4.8,9,02-07-2019,94%,95%
E00091,Company_91,Healthcare,"React, Node.js",Large,Tokyo,8,498758,4.4,36,29-09-2016,86%,97%
E00092,Company_92,Retail,"React, Node.js",Large,San Francisco,43,31861,3.8,44,01-04-2017,89%,91%
E00093,Company_93,Manufacturing,"React, Node.js",Large,Berlin,68,491619,4.4,34,01-08-2018,84%,92%
E00094,Company_94,Healthcare,Project Management,Small,San Francisco,76,40814,4.3,24,16-05-2015,95%,94%
E00095,Company_95,Retail,"Python, Java",Small,London,57,400820,4.6,32,25-11-2018,86%,98%
E00096,Company_96,Tech,UI/UX Design,Medium,New York,89,388513,4.3,43,05-10-2017,86%,91%
E00097,Company_97,Healthcare,UI/UX Design,Small,San Francisco,73,14637,4.2,27,19-06-2021,82%,96%
E00098,Company_98,Manufacturing,"React, Node.js",Small,Berlin,74,61693,3.8,30,24-03-2017,94%,92%
E00099,Company_99,Finance,"Python, Java",Medium,Tokyo,52,398601,4.6,31,28-12-2018,88%,92%
E00100,Company_100,Retail,UI/UX Design,Small,San Francisco,8,373840,5,32,01-07-2018,82%,96%
E00101,Company_101,Tech,Project Management,Large,London,19,438025,4.5,9,19-12-2022,84%,93%
E00102,Company_102,Manufacturing,Project Management,Small,New York,74,90913,3.8,31,16-09-2018,96%,96%
E00103,Company_103,Healthcare,UI/UX Design,Large,Tokyo,43,295756,3.9,40,20-09-2020,91%,94%
E00104,Company_104,Tech,"React, Node.js",Medium,New York,7,465914,4.4,17,01-05-2022,86%,97%
E00105,Company_105,Healthcare,UI/UX Design,Medium,Tokyo,17,425689,4.5,36,04-06-2017,81%,91%
E00106,Company_106,Healthcare,Project Management,Medium,London,36,47071,4.8,38,13-07-2016,100%,94%
E00107,Company_107,Manufacturing,UI/UX Design,Small,London,12,84748,4.4,10,04-11-2017,83%,90%
E00108,Company_108,Retail,"React, Node.js",Small,San Francisco,90,148525,4.1,46,12-11-2019,81%,90%
E00109,Company_109,Tech,"Python, Java",Large,Tokyo,29,303654,4.1,26,11-03-2016,91%,97%
E00110,Company_110,Retail,"Python, Java",Small,San Francisco,66,316917,4.7,28,31-10-2022,92%,98%
E00111,Company_111,Retail,"React, Node.js",Large,Berlin,57,181312,4.9,33,03-02-2018,92%,95%
E00112,Company_112,Manufacturing,Data Analysis,Medium,New York,83,462142,4.2,10,17-10-2020,91%,92%
E00113,Company_113,Finance,Project Management,Small,San Francisco,66,478326,4.2,20,02-03-2022,99%,100%
E00114,Company_114,Finance,UI/UX Design,Large,London,77,280961,4.9,48,07-02-2022,90%,94%
E00115,Company_115,Finance,UI/UX Design,Large,San Francisco,94,321097,3.6,6,22-11-2019,98%,92%
E00116,Company_116,Tech,Data Analysis,Small,Tokyo,82,8505,3.9,27,31-08-2018,87%,100%
E00117,Company_117,Tech,UI/UX Design,Large,New York,22,59854,3.9,16,23-06-2015,82%,91%
E00118,Company_118,Retail,"React, Node.js",Large,Tokyo,42,401761,3.9,17,09-09-2015,92%,93%
E00119,Company_119,Manufacturing,"Python, Java",Medium,Tokyo,30,30790,4.7,17,04-12-2022,82%,90%
E00120,Company_120,Tech,Data Analysis,Large,Tokyo,8,402077,4.3,21,18-08-2019,100%,99%
E00121,Company_121,Healthcare,"Python, Java",Medium,Tokyo,13,8037,4.9,24,23-10-2021,99%,93%
E00122,Company_122,Healthcare,Data Analysis,Small,San Francisco,5,270632,4.3,30,15-08-2021,97%,100%
E00123,Company_123,Tech,"Python, Java",Small,London,93,113749,4.6,43,21-06-2018,85%,98%
E00124,Company_124,Retail,Data Analysis,Medium,London,80,84032,4.5,19,10-02-2016,81%,91%
E00125,Company_125,Finance,Project Management,Small,New York,43,273799,3.8,41,21-09-2020,88%,92%
E00126,Company_126,Manufacturing,"React, Node.js",Medium,San Francisco,74,221894,4.6,18,07-01-2021,99%,100%
E00127,Company_127,Healthcare,Project Management,Small,San Francisco,57,44509,3.6,38,14-01-2022,85%,91%
E00128,Company_128,Retail,UI/UX Design,Medium,New York,79,311333,3.6,17,19-02-2016,80%,94%
E00129,Company_129,Healthcare,Project Management,Medium,San Francisco,44,143514,4.1,44,24-08-2019,80%,95%
E00130,Company_130,Tech,Project Management,Large,New York,29,48890,3.6,22,21-01-2016,84%,91%
E00131,Company_131,Manufacturing,UI/UX Design,Large,New York,17,431965,4.6,44,20-10-2017,86%,95%
E00132,Company_132,Manufacturing,"React, Node.js",Large,Berlin,47,328359,4.8,15,31-08-2016,82%,91%
E00133,Company_133,Tech,"Python, Java",Large,London,89,410181,4.8,10,06-12-2019,88%,91%
E00134,Company_134,Manufacturing,Project Management,Small,London,73,72861,4.9,5,21-01-2016,88%,100%
E00135,Company_135,Retail,"Python, Java",Large,Tokyo,37,103273,4.7,49,09-03-2018,83%,98%
E00136,Company_136,Retail,Project Management,Medium,San Francisco,29,452730,4.4,41,17-01-2020,93%,100%
E00137,Company_137,Manufacturing,"Python, Java",Large,London,58,53893,4.2,39,01-11-2022,100%,97%
E00138,Company_138,Manufacturing,"Python, Java",Small,London,91,319276,4.3,31,23-09-2015,82%,100%
E00139,Company_139,Healthcare,Data Analysis,Medium,London,67,208665,4,40,14-07-2018,97%,90%
E00140,Company_140,Finance,UI/UX Design,Large,Tokyo,75,128776,4.7,26,21-04-2021,82%,90%
E00141,Company_141,Healthcare,Data Analysis,Medium,New York,66,482094,3.9,9,05-01-2020,94%,98%
E00142,Company_142,Healthcare,"React, Node.js",Small,New York,87,296775,4.8,35,31-03-2018,89%,99%
E00143,Company_143,Retail,Data Analysis,Medium,New York,60,370954,4.2,21,29-03-2017,98%,97%
E00144,Company_144,Retail,"React, Node.js",Small,Tokyo,63,347249,3.9,28,24-03-2021,94%,94%
E00145,Company_145,Tech,"React, Node.js",Large,Tokyo,73,267870,3.7,9,11-10-2019,81%,94%
E00146,Company_146,Retail,Data Analysis,Small,Berlin,16,241107,4.8,32,06-01-2021,100%,92%
E00147,Company_147,Finance,"Python, Java",Small,Berlin,98,496311,4.7,17,08-04-2019,82%,99%
E00148,Company_148,Retail,Data Analysis,Large,Tokyo,36,71503,3.8,23,29-01-2017,99%,93%
E00149,Company_149,Healthcare,"Python, Java",Large,Berlin,98,66448,4.8,46,31-05-2022,96%,97%
E00150,Company_150,Manufacturing,Project Management,Small,Tokyo,5,412564,4.2,19,24-10-2022,83%,96%
E00151,Company_151,Manufacturing,"Python, Java",Medium,Berlin,61,384449,4.9,31,01-12-2017,97%,90%
E00152,Company_152,Healthcare,"React, Node.js",Medium,San Francisco,30,491468,3.7,30,01-02-2020,89%,99%
E00153,Company_153,Tech,"Python, Java",Medium,London,62,166408,3.5,20,02-02-2019,99%,94%
E00154,Company_154,Healthcare,Data Analysis,Large,Tokyo,36,322318,3.8,30,05-06-2017,97%,96%
E00155,Company_155,Finance,"React, Node.js",Small,Berlin,66,205067,4.6,14,17-02-2017,92%,94%
E00156,Company_156,Finance,Data Analysis,Large,Berlin,56,173072,4.8,30,30-01-2021,91%,98%
E00157,Company_157,Retail,"Python, Java",Small,Berlin,64,357851,3.6,15,06-08-2018,97%,100%
E00158,Company_158,Manufacturing,"Python, Java",Small,Berlin,80,363281,4.6,39,20-04-2015,98%,90%
E00159,Company_159,Manufacturing,Project Management,Large,London,46,65203,4.4,12,22-09-2015,80%,92%
E00160,Company_160,Manufacturing,Project Management,Large,New York,46,441393,4.6,4,22-09-2016,99%,97%
E00161,Company_161,Finance,"Python, Java",Small,New York,16,411704,4.5,49,12-08-2021,84%,93%
E00162,Company_162,Manufacturing,"React, Node.js",Medium,Berlin,14,372941,4,16,15-10-2020,96%,99%
E00163,Company_163,Retail,"React, Node.js",Small,Tokyo,82,471339,3.8,27,25-05-2017,87%,93%
E00164,Company_164,Manufacturing,Data Analysis,Medium,Tokyo,59,332501,4.2,14,10-07-2019,82%,96%
E00165,Company_165,Healthcare,"React, Node.js",Small,Tokyo,26,138012,4.7,23,08-04-2016,88%,94%
E00166,Company_166,Finance,UI/UX Design,Medium,Tokyo,9,39172,3.5,37,14-06-2019,94%,96%
E00167,Company_167,Tech,Data Analysis,Medium,San Francisco,50,450144,4,45,03-08-2020,93%,94%
E00168,Company_168,Healthcare,"Python, Java",Medium,San Francisco,32,85799,4.1,14,14-06-2019,85%,95%
E00169,Company_169,Manufacturing,"Python, Java",Small,Tokyo,94,169639,5,19,23-12-2015,84%,94%
E00170,Company_170,Healthcare,Data Analysis,Small,Berlin,13,211837,4.4,22,14-05-2019,99%,97%
E00171,Company_171,Tech,UI/UX Design,Small,San Francisco,98,21520,4.4,38,01-06-2022,88%,91%
E00172,Company_172,Finance,Data Analysis,Small,New York,69,467782,4.1,16,20-04-2022,80%,94%
E00173,Company_173,Finance,UI/UX Design,Small,San Francisco,96,122133,4.4,10,01-09-2022,88%,100%
E00174,Company_174,Retail,"React, Node.js",Large,San Francisco,15,41463,4.6,19,17-04-2022,90%,93%
E00175,Company_175,Finance,"React, Node.js",Medium,London,25,480899,3.8,38,17-05-2016,93%,98%
E00176,Company_176,Manufacturing,UI/UX Design,Small,New York,80,426182,4.4,7,18-01-2017,82%,99%
E00177,Company_177,Retail,UI/UX Design,Medium,Berlin,29,265689,4.7,36,22-08-2022,99%,99%
E00178,Company_178,Finance,"React, Node.js",Small,San Francisco,97,431428,4.6,48,28-09-2016,93%,90%
E00179,Company_179,Healthcare,"Python, Java",Large,San Francisco,87,86318,3.5,15,13-05-2016,83%,90%
E00180,Company_180,Retail,"Python, Java",Small,London,22,246295,4.6,47,17-12-2018,80%,94%
E00181,Company_181,Manufacturing,Data Analysis,Medium,Berlin,73,173048,4.6,48,29-09-2020,81%,91%
E00182,Company_182,Healthcare,"React, Node.js",Medium,Berlin,24,59928,3.7,34,28-11-2016,83%,100%
E00183,Company_183,Tech,"Python, Java",Medium,Tokyo,57,127546,3.6,16,03-04-2019,95%,98%
E00184,Company_184,Manufacturing,"Python, Java",Large,New York,7,303574,4.3,7,22-04-2017,94%,98%
E00185,Company_185,Tech,"React, Node.js",Medium,London,72,213947,4.9,21,20-09-2015,85%,95%
E00186,Company_186,Finance,Project Management,Medium,San Francisco,76,397824,4.1,37,15-07-2021,99%,93%
E00187,Company_187,Retail,UI/UX Design,Small,Berlin,62,260598,4.2,45,15-12-2016,99%,92%
E00188,Company_188,Finance,Data Analysis,Large,San Francisco,71,145055,4.9,26,16-07-2020,83%,91%
E00189,Company_189,Finance,"React, Node.js",Large,New York,83,8181,3.7,27,09-10-2015,99%,95%
E00190,Company_190,Manufacturing,"Python, Java",Small,Berlin,45,293798,4.4,36,10-01-2018,100%,93%
E00191,Company_191,Finance,"React, Node.js",Large,Tokyo,55,206339,3.9,8,06-07-2016,90%,97%
E00192,Company_192,Healthcare,UI/UX Design,Large,San Francisco,21,74519,3.9,5,10-10-2020,80%,91%
E00193,Company_193,Manufacturing,"Python, Java",Small,Tokyo,8,408519,4.9,28,07-04-2018,95%,100%
E00194,Company_194,Healthcare,Data Analysis,Large,Berlin,85,86374,4.5,38,24-04-2015,80%,90%
E00195,Company_195,Tech,UI/UX Design,Small,Berlin,66,114103,3.8,28,26-05-2019,86%,95%
E00196,Company_196,Finance,Project Management,Large,San Francisco,37,202159,4.8,39,13-06-2019,90%,96%
E00197,Company_197,Retail,Project Management,Small,London,33,305821,3.8,3,27-09-2018,88%,99%
E00198,Company_198,Finance,Data Analysis,Large,New York,16,343537,4.6,25,19-08-2017,95%,93%
E00199,Company_199,Manufacturing,Data Analysis,Small,San Francisco,33,54020,4.5,37,28-04-2018,86%,91%
E00200,Company_200,Healthcare,Data Analysis,Medium,Tokyo,65,464633,4,44,31-01-2021,83%,91%
E00201,Company_201,Manufacturing,"React, Node.js",Small,London,51,447870,3.8,33,07-10-2018,95%,90%
E00202,Company_202,Manufacturing,"Python, Java",Large,San Francisco,62,241707,4.7,22,01-02-2019,84%,95%
E00203,Company_203,Retail,UI/UX Design,Small,New York,78,87751,4.4,48,22-03-2022,91%,100%
E00204,Company_204,Manufacturing,Project Management,Large,Tokyo,94,392117,3.5,30,30-08-2019,80%,94%
E00205,Company_205,Tech,Project Management,Small,New York,62,332878,4.7,30,14-01-2020,92%,96%
E00206,Company_206,Healthcare,Project Management,Large,Tokyo,64,232325,4.8,9,28-12-2020,80%,100%
E00207,Company_207,Retail,Data Analysis,Large,Berlin,27,496830,4,27,28-02-2020,83%,100%
E00208,Company_208,Tech,Data Analysis,Small,San Francisco,60,268512,3.9,12,18-04-2020,88%,97%
E00209,Company_209,Tech,"Python, Java",Large,Tokyo,30,383681,3.8,25,19-07-2015,87%,99%
E00210,Company_210,Finance,Data Analysis,Large,New York,17,112674,4.8,10,19-08-2017,97%,95%
E00211,Company_211,Healthcare,UI/UX Design,Large,Berlin,13,379719,3.6,45,28-04-2020,96%,93%
E00212,Company_212,Finance,"Python, Java",Large,Tokyo,55,238178,3.8,7,26-02-2016,87%,99%
E00213,Company_213,Finance,"Python, Java",Medium,Tokyo,22,28276,4.7,45,11-06-2021,84%,99%
E00214,Company_214,Tech,UI/UX Design,Small,London,80,89072,3.8,39,05-01-2016,95%,98%
E00215,Company_215,Finance,Data Analysis,Medium,Berlin,80,469758,4.1,45,27-12-2022,85%,94%
E00216,Company_216,Tech,Project Management,Large,London,7,370857,4.3,37,13-12-2021,99%,91%
E00217,Company_217,Finance,Project Management,Large,San Francisco,70,441045,4.6,6,21-04-2017,80%,91%
E00218,Company_218,Retail,UI/UX Design,Medium,San Francisco,93,390035,3.8,38,21-02-2017,91%,90%
E00219,Company_219,Tech,"React, Node.js",Medium,Tokyo,8,296893,4.9,8,20-02-2019,85%,94%
E00220,Company_220,Manufacturing,"React, Node.js",Small,San Francisco,54,136796,4.2,5,24-04-2016,94%,91%
E00221,Company_221,Healthcare,Project Management,Large,San Francisco,40,249105,4.2,26,01-08-2016,88%,91%
E00222,Company_222,Finance,Data Analysis,Small,Berlin,83,403070,3.9,17,05-11-2021,99%,94%
E00223,Company_223,Finance,"Python, Java",Large,Berlin,5,296939,4.6,47,11-04-2016,81%,99%
E00224,Company_224,Manufacturing,"Python, Java",Medium,New York,49,436761,4.6,31,22-02-2015,96%,100%
E00225,Company_225,Finance,UI/UX Design,Medium,New York,75,358080,3.7,34,20-08-2015,93%,95%
E00226,Company_226,Healthcare,"React, Node.js",Large,Tokyo,59,454430,4.5,44,01-07-2017,94%,94%
E00227,Company_227,Retail,"React, Node.js",Small,New York,81,195524,4.2,29,26-07-2016,93%,97%
E00228,Company_228,Manufacturing,"React, Node.js",Medium,London,9,111253,4.3,15,26-09-2020,94%,90%
E00229,Company_229,Healthcare,Data Analysis,Large,London,70,419740,3.9,24,13-10-2018,87%,95%
E00230,Company_230,Finance,Data Analysis,Large,New York,65,42552,4.2,49,13-11-2018,99%,94%
E00231,Company_231,Manufacturing,UI/UX Design,Small,London,95,306841,4.6,36,27-12-2015,88%,100%
E00232,Company_232,Retail,UI/UX Design,Medium,Berlin,89,497668,3.8,24,11-04-2022,88%,91%
E00233,Company_233,Healthcare,Data Analysis,Small,San Francisco,69,401127,4.1,5,05-10-2016,83%,96%
E00234,Company_234,Retail,"React, Node.js",Large,San Francisco,60,146582,3.7,27,24-02-2021,90%,98%
E00235,Company_235,Manufacturing,"Python, Java",Medium,London,80,64657,3.8,19,18-08-2017,99%,92%
E00236,Company_236,Manufacturing,Project Management,Large,London,6,402688,3.9,20,02-07-2016,99%,98%
E00237,Company_237,Tech,"React, Node.js",Small,Tokyo,88,180207,4.1,39,15-04-2021,82%,99%
E00238,Company_238,Tech,"React, Node.js",Small,Berlin,77,335160,4.9,5,10-10-2021,87%,97%
E00239,Company_239,Retail,"React, Node.js",Medium,Tokyo,49,436313,3.6,39,25-03-2019,98%,91%
E00240,Company_240,Finance,Project Management,Medium,Tokyo,29,234174,3.9,24,15-12-2017,93%,96%
E00241,Company_241,Finance,Data Analysis,Large,Berlin,56,121646,4,16,22-12-2022,86%,97%
E00242,Company_242,Tech,UI/UX Design,Small,London,11,141545,4.4,43,10-11-2016,80%,92%
E00243,Company_243,Healthcare,Data Analysis,Small,San Francisco,86,289173,4.7,35,18-07-2021,89%,99%
E00244,Company_244,Tech,"Python, Java",Medium,New York,69,476980,3.6,48,19-02-2019,82%,93%
E00245,Company_245,Manufacturing,"React, Node.js",Large,London,70,288057,3.7,12,11-02-2015,99%,90%
E00246,Company_246,Retail,Data Analysis,Large,London,59,339664,4.5,18,24-03-2015,89%,90%
E00247,Company_247,Manufacturing,Project Management,Small,London,47,468479,4,45,20-12-2022,88%,90%
E00248,Company_248,Healthcare,"React, Node.js",Large,London,54,333399,4.7,41,17-09-2016,93%,98%
E00249,Company_249,Healthcare,"Python, Java",Large,New York,59,375738,4.6,36,28-04-2022,93%,95%
