employer_id,company_name,industry,preferred_skills,company_size,location,jobs_posted,total_spent,average_rating,hired_freelancers,member_since,project_completion_rate,on_time_payment_rate
E00250,Company_250,Tech,Data Analysis,Large,San Francisco,99,6256,4.8,7,30-04-2017,97%,98%
E00251,Company_251,Tech,Project Management,Large,San Francisco,6,50760,4.6,10,08-09-2021,97%,100%
E00252,Company_252,Tech,Project Management,Small,New York,36,221498,4.9,12,28-02-2020,98%,97%
E00253,Company_253,Healthcare,UI/UX Design,Small,London,7,26422,4.3,19,15-05-2018,95%,93%
E00254,Company_254,Tech,UI/UX Design,Small,San Francisco,25,417648,4.4,19,05-02-2017,87%,99%
E00255,Company_255,Retail,UI/UX Design,Large,New York,11,35591,4.3,29,03-01-2017,92%,92%
E00256,Company_256,Tech,UI/UX Design,Medium,New York,31,238886,3.5,25,03-01-2021,86%,100%
E00257,Company_257,Tech,UI/UX Design,Medium,Berlin,61,146398,4.6,38,27-06-2016,100%,93%
E00258,Company_258,Healthcare,Data Analysis,Medium,Tokyo,43,488417,3.8,30,29-03-2019,84%,90%
E00259,Company_259,Healthcare,Project Management,Large,Berlin,50,458777,4.3,45,29-11-2022,90%,98%
E00260,Company_260,Retail,UI/UX Design,Medium,Tokyo,56,202369,4.3,14,23-04-2020,80%,97%
E00261,Company_261,Manufacturing,"Python, Java",Large,London,60,246619,3.6,18,21-03-2021,89%,100%
E00262,Company_262,Retail,UI/UX Design,Medium,San Francisco,22,101307,3.8,42,15-10-2017,95%,92%
E00263,Company_263,Healthcare,Project Management,Large,Berlin,38,205515,3.8,28,25-06-2022,89%,93%
E00264,Company_264,Finance,"Python, Java",Large,Tokyo,31,412180,4.7,24,29-11-2022,92%,92%
E00265,Company_265,Tech,Data Analysis,Large,London,50,454923,3.7,22,23-03-2017,83%,100%
E00266,Company_266,Healthcare,Data Analysis,Large,San Francisco,64,451954,4.9,17,27-07-2017,85%,97%
E00267,Company_267,Manufacturing,Data Analysis,Small,New York,87,482085,3.7,44,21-02-2022,81%,90%
E00268,Company_268,Retail,Data Analysis,Medium,New York,50,141195,4.4,33,03-04-2022,98%,92%
E00269,Company_269,Finance,"React, Node.js",Small,San Francisco,62,121931,4,47,19-11-2021,83%,97%
E00270,Company_270,Tech,Data Analysis,Large,Berlin,98,105580,4.3,11,01-11-2016,88%,100%
E00271,Company_271,Healthcare,Project Management,Small,San Francisco,80,85102,3.8,5,03-11-2016,92%,96%
E00272,Company_272,Tech,"Python, Java",Small,Tokyo,43,182933,4,3,26-02-2016,81%,97%
E00273,Company_273,Manufacturing,Data Analysis,Large,San Francisco,88,455598,4.9,33,17-10-2019,94%,92%
E00274,Company_274,Finance,Project Management,Small,San Francisco,25,161566,4.5,45,13-11-2022,92%,95%
E00275,Company_275,Finance,"Python, Java",Large,Berlin,96,73358,3.7,25,09-12-2019,100%,98%
E00276,Company_276,Healthcare,UI/UX Design,Small,London,9,419519,4.2,43,13-06-2015,97%,92%
E00277,Company_277,Manufacturing,Data Analysis,Small,Berlin,7,447279,4.8,39,07-10-2017,91%,90%
E00278,Company_278,Retail,Data Analysis,Large,London,25,111046,4.9,14,02-11-2015,85%,92%
E00279,Company_279,Finance,Data Analysis,Large,San Francisco,27,123603,3.9,23,16-08-2015,91%,97%
E00280,Company_280,Finance,"React, Node.js",Small,San Francisco,56,224521,4.5,47,01-04-2021,83%,98%
E00281,Company_281,Finance,Data Analysis,Large,Tokyo,53,495989,4.5,20,31-05-2017,89%,90%
E00282,Company_282,Tech,UI/UX Design,Large,Berlin,70,209253,4.3,43,26-07-2015,92%,91%
E00283,Company_283,Manufacturing,Data Analysis,Small,San Francisco,6,115672,3.5,16,11-08-2017,98%,94%
E00284,Company_284,Finance,UI/UX Design,Large,Berlin,46,359590,4.1,10,05-04-2015,83%,92%
E00285,Company_285,Manufacturing,"React, Node.js",Medium,New York,41,321181,4.5,42,03-04-2015,85%,93%
E00286,Company_286,Healthcare,Data Analysis,Medium,Tokyo,21,102535,3.9,8,25-12-2018,94%,97%
E00287,Company_287,Retail,"React, Node.js",Small,Tokyo,97,5213,3.9,19,10-03-2020,97%,100%
E00288,Company_288,Healthcare,UI/UX Design,Medium,London,9,122783,3.9,43,24-01-2020,87%,97%
E00289,Company_289,Healthcare,Project Management,Large,New York,98,361712,4.9,14,23-10-2022,91%,94%
E00290,Company_290,Tech,Project Management,Medium,New York,33,367016,4.4,25,27-11-2021,85%,91%
E00291,Company_291,Tech,Project Management,Medium,London,40,196422,4.2,6,14-04-2021,81%,94%
E00292,Company_292,Finance,UI/UX Design,Large,Tokyo,98,37374,3.9,39,08-11-2019,90%,96%
E00293,Company_293,Retail,"Python, Java",Small,London,24,399794,3.9,50,04-08-2021,94%,97%
E00294,Company_294,Tech,UI/UX Design,Small,Tokyo,27,180047,4.8,18,17-03-2018,80%,98%
E00295,Company_295,Healthcare,"React, Node.js",Small,Tokyo,71,169112,4.9,35,28-05-2016,83%,99%
E00296,Company_296,Retail,UI/UX Design,Small,Tokyo,20,266437,5,34,02-11-2017,92%,100%
E00297,Company_297,Manufacturing,"React, Node.js",Small,Tokyo,15,258643,3.8,5,10-08-2020,100%,96%
E00298,Company_298,Manufacturing,Data Analysis,Small,New York,91,422428,3.8,10,01-11-2017,100%,93%
E00299,Company_299,Manufacturing,Project Management,Medium,New York,51,306245,3.8,22,17-05-2018,85%,92%
E00300,Company_300,Healthcare,"Python, Java",Medium,Tokyo,72,255476,4.4,36,03-05-2016,96%,99%
E00301,Company_301,Manufacturing,"React, Node.js",Large,Berlin,33,198518,3.9,24,14-12-2017,94%,94%
E00302,Company_302,Finance,"Python, Java",Medium,San Francisco,77,344255,4.2,40,02-03-2021,92%,94%
E00303,Company_303,Manufacturing,Project Management,Small,New York,29,69580,4.7,15,06-10-2015,86%,90%
E00304,Company_304,Tech,Data Analysis,Small,Berlin,15,369808,4.1,24,04-07-2019,99%,98%
E00305,Company_305,Healthcare,"React, Node.js",Small,San Francisco,69,146760,4.6,17,27-09-2021,99%,92%
E00306,Company_306,Tech,Project Management,Small,New York,85,73321,4.6,41,18-05-2020,86%,92%
E00307,Company_307,Finance,"React, Node.js",Small,Tokyo,44,164432,5,27,11-02-2015,100%,100%
E00308,Company_308,Retail,Project Management,Small,Tokyo,37,216769,4.5,41,08-02-2020,87%,91%
E00309,Company_309,Healthcare,UI/UX Design,Medium,Berlin,61,34867,4.7,38,09-11-2017,82%,97%
E00310,Company_310,Finance,Data Analysis,Large,San Francisco,43,22581,3.8,4,03-07-2017,80%,96%
E00311,Company_311,Healthcare,"React, Node.js",Large,New York,6,90225,4.8,32,01-04-2018,85%,98%
E00312,Company_312,Manufacturing,UI/UX Design,Small,London,37,180808,3.9,42,18-06-2020,86%,97%
E00313,Company_313,Retail,"Python, Java",Small,London,14,105949,4.9,36,16-07-2022,81%,92%
E00314,Company_314,Retail,"Python, Java",Large,Tokyo,73,230263,3.9,35,29-02-2016,94%,92%
E00315,Company_315,Manufacturing,"React, Node.js",Medium,Berlin,48,247628,3.7,7,30-10-2017,89%,97%
E00316,Company_316,Manufacturing,Project Management,Small,New York,49,263415,4.7,20,15-02-2020,88%,91%
E00317,Company_317,Tech,"React, Node.js",Small,San Francisco,8,302310,4.4,47,24-06-2019,90%,94%
E00318,Company_318,Finance,UI/UX Design,Medium,London,60,14857,4.3,47,15-03-2016,83%,91%
E00319,Company_319,Finance,Data Analysis,Small,Berlin,35,129669,4.4,36,15-03-2016,86%,94%
E00320,Company_320,Tech,UI/UX Design,Small,Berlin,70,455022,4.3,6,16-12-2020,89%,99%
E00321,Company_321,Retail,Data Analysis,Large,Berlin,58,342618,4.8,44,13-10-2015,85%,97%
E00322,Company_322,Retail,Project Management,Medium,London,60,367673,4,35,04-01-2015,95%,99%
E00323,Company_323,Tech,UI/UX Design,Small,New York,44,192364,4.4,46,10-12-2021,93%,94%
E00324,Company_324,Healthcare,Data Analysis,Medium,Tokyo,35,447904,4.8,7,21-02-2015,82%,99%
E00325,Company_325,Manufacturing,"Python, Java",Small,Tokyo,34,315653,4.8,35,06-11-2021,92%,94%
E00326,Company_326,Healthcare,Project Management,Medium,New York,98,158902,4,47,29-01-2015,95%,99%
E00327,Company_327,Tech,Data Analysis,Small,Berlin,44,132563,4.2,28,02-08-2015,92%,99%
E00328,Company_328,Finance,UI/UX Design,Medium,New York,60,231356,4.5,36,30-01-2017,89%,90%
E00329,Company_329,Retail,"React, Node.js",Medium,London,46,405548,3.7,29,04-03-2018,100%,98%
E00330,Company_330,Finance,"Python, Java",Medium,New York,21,85000,4,22,02-09-2021,84%,92%
E00331,Company_331,Healthcare,"React, Node.js",Medium,Berlin,96,84864,4.3,37,23-04-2015,91%,94%
E00332,Company_332,Tech,Project Management,Medium,London,32,330432,3.5,42,11-03-2021,95%,97%
E00333,Company_333,Retail,Project Management,Medium,New York,81,49976,3.5,10,18-03-2022,88%,99%
E00334,Company_334,Retail,Project Management,Small,Tokyo,61,194363,4.9,41,04-03-2016,97%,95%
E00335,Company_335,Tech,"React, Node.js",Large,San Francisco,11,161323,4.8,42,08-03-2021,82%,94%
E00336,Company_336,Manufacturing,Data Analysis,Small,Tokyo,9,21895,4.6,48,18-04-2022,88%,91%
E00337,Company_337,Healthcare,"Python, Java",Large,San Francisco,11,467245,4.8,35,18-06-2018,96%,92%
E00338,Company_338,Healthcare,Project Management,Medium,Tokyo,19,426900,5,21,22-12-2018,99%,93%
E00339,Company_339,Finance,Data Analysis,Small,Tokyo,31,19970,4.5,30,17-09-2018,89%,99%
E00340,Company_340,Tech,Data Analysis,Small,Tokyo,40,255952,4.3,50,22-02-2018,95%,94%
E00341,Company_341,Retail,Data Analysis,Large,San Francisco,95,364292,3.7,8,08-12-2019,84%,98%
E00342,Company_342,Healthcare,Data Analysis,Medium,New York,50,157352,4.7,33,23-08-2021,97%,99%
E00343,Company_343,Tech,UI/UX Design,Small,Berlin,95,26527,4.3,40,08-09-2021,82%,93%
E00344,Company_344,Retail,UI/UX Design,Large,London,29,135475,3.6,41,03-05-2017,96%,90%
E00345,Company_345,Tech,UI/UX Design,Large,New York,79,224746,4.5,22,18-01-2016,83%,100%
E00346,Company_346,Manufacturing,Data Analysis,Medium,London,61,439301,4.9,39,06-06-2016,95%,99%
E00347,Company_347,Retail,"React, Node.js",Medium,San Francisco,31,229942,3.8,25,25-03-2015,97%,100%
E00348,Company_348,Healthcare,Data Analysis,Medium,New York,95,94925,5,23,30-11-2016,100%,99%
E00349,Company_349,Healthcare,"React, Node.js",Large,New York,84,57538,4.2,12,12-01-2018,96%,93%
E00350,Company_350,Finance,Data Analysis,Medium,New York,84,272792,3.7,13,14-03-2016,80%,92%
E00351,Company_351,Tech,"React, Node.js",Medium,Berlin,58,370247,4.1,8,23-02-2018,80%,96%
E00352,Company_352,Healthcare,Data Analysis,Large,Tokyo,40,499770,4,11,24-03-2017,89%,96%
E00353,Company_353,Finance,"React, Node.js",Large,San Francisco,41,312242,4.5,47,30-08-2015,84%,99%
E00354,Company_354,Retail,Project Management,Medium,London,35,129355,4.7,6,30-08-2020,85%,97%
E00355,Company_355,Tech,"Python, Java",Medium,Berlin,42,450968,4,17,15-06-2017,96%,100%
E00356,Company_356,Finance,UI/UX Design,Medium,Tokyo,29,117721,4.8,29,02-01-2017,100%,93%
E00357,Company_357,Manufacturing,UI/UX Design,Medium,San Francisco,96,180643,4.2,42,10-05-2019,84%,97%
E00358,Company_358,Tech,"Python, Java",Small,New York,91,6566,4.8,44,01-07-2021,95%,90%
E00359,Company_359,Healthcare,UI/UX Design,Small,Berlin,82,195050,4.1,14,03-12-2019,85%,97%
E00360,Company_360,Retail,Project Management,Large,Tokyo,94,215025,4.2,21,21-07-2022,93%,100%
E00361,Company_361,Tech,"Python, Java",Medium,San Francisco,8,496238,4.6,48,08-12-2022,80%,90%
E00362,Company_362,Finance,"React, Node.js",Small,New York,88,164151,3.8,45,28-06-2021,92%,94%
E00363,Company_363,Healthcare,Data Analysis,Large,New York,46,9220,4.6,16,12-08-2016,80%,90%
E00364,Company_364,Healthcare,Data Analysis,Large,London,92,175481,4.8,32,31-12-2017,81%,95%
E00365,Company_365,Healthcare,"Python, Java",Medium,London,82,164627,3.8,44,30-05-2022,89%,97%
E00366,Company_366,Healthcare,"React, Node.js",Large,San Francisco,52,81179,4.7,28,06-09-2020,91%,96%
E00367,Company_367,Finance,"React, Node.js",Medium,Berlin,20,368694,3.5,13,26-02-2020,82%,98%
E00368,Company_368,Finance,"React, Node.js",Large,San Francisco,25,204142,3.6,12,21-03-2020,83%,92%
E00369,Company_369,Finance,Data Analysis,Small,New York,57,52328,4,38,06-08-2020,94%,98%
E00370,Company_370,Manufacturing,Project Management,Small,New York,61,143330,4.5,5,29-05-2019,99%,97%
E00371,Company_371,Retail,"React, Node.js",Large,New York,36,389914,3.5,49,25-04-2016,85%,93%
E00372,Company_372,Healthcare,"Python, Java",Small,Berlin,72,352226,3.9,46,23-08-2020,89%,92%
E00373,Company_373,Tech,"React, Node.js",Medium,Tokyo,74,441079,3.7,44,17-11-2018,94%,93%
E00374,Company_374,Retail,"Python, Java",Medium,Berlin,24,324611,3.5,24,12-07-2017,89%,92%
E00375,Company_375,Finance,Project Management,Large,New York,97,26143,4.5,19,13-01-2017,86%,100%
E00376,Company_376,Manufacturing,Data Analysis,Large,New York,83,263606,4.4,25,18-07-2022,93%,92%
E00377,Company_377,Finance,"Python, Java",Small,San Francisco,54,142152,3.5,14,04-07-2016,95%,100%
E00378,Company_378,Retail,"React, Node.js",Large,London,26,496603,4,29,18-02-2018,99%,94%
E00379,Company_379,Healthcare,UI/UX Design,Medium,San Francisco,21,475398,4.8,7,26-02-2018,96%,99%
E00380,Company_380,Retail,UI/UX Design,Small,New York,96,336995,4.7,17,28-06-2017,81%,100%
E00381,Company_381,Finance,"React, Node.js",Small,San Francisco,89,489969,4.3,29,14-12-2017,88%,97%
E00382,Company_382,Healthcare,UI/UX Design,Large,Berlin,59,81700,4.9,7,07-06-2017,82%,90%
E00383,Company_383,Manufacturing,Project Management,Medium,San Francisco,48,154384,4,48,17-01-2020,87%,98%
E00384,Company_384,Healthcare,Data Analysis,Medium,San Francisco,97,111918,3.6,32,15-06-2016,81%,100%
E00385,Company_385,Healthcare,Data Analysis,Medium,Berlin,70,415712,4.9,8,15-04-2016,97%,93%
E00386,Company_386,Manufacturing,UI/UX Design,Large,Berlin,44,371180,4.2,40,23-10-2021,92%,100%
E00387,Company_387,Manufacturing,UI/UX Design,Small,New York,50,67050,4.7,46,14-10-2021,90%,98%
E00388,Company_388,Manufacturing,Data Analysis,Small,Berlin,67,419500,3.7,17,03-11-2019,90%,93%
E00389,Company_389,Manufacturing,Project Management,Small,New York,6,491698,4,15,13-07-2016,81%,100%
E00390,Company_390,Manufacturing,"React, Node.js",Medium,London,37,472558,4.5,26,18-10-2021,87%,91%
E00391,Company_391,Healthcare,Data Analysis,Medium,New York,27,42002,3.7,27,28-05-2017,100%,98%
E00392,Company_392,Manufacturing,"Python, Java",Large,London,96,101019,4.1,15,11-09-2022,92%,95%
E00393,Company_393,Manufacturing,UI/UX Design,Medium,Berlin,57,338848,5,6,09-07-2020,87%,100%
E00394,Company_394,Retail,UI/UX Design,Small,San Francisco,90,105503,4,49,19-11-2016,88%,99%
E00395,Company_395,Finance,"Python, Java",Large,New York,93,332793,4.3,5,30-04-2018,91%,97%
E00396,Company_396,Retail,Project Management,Small,San Francisco,35,378970,4.2,13,09-08-2017,89%,96%
E00397,Company_397,Manufacturing,Project Management,Medium,London,25,289220,4.3,12,28-11-2016,90%,95%
E00398,Company_398,Manufacturing,Data Analysis,Small,Tokyo,76,416555,3.8,14,19-08-2015,97%,98%
E00399,Company_399,Retail,Data Analysis,Small,Berlin,64,272838,4.9,33,15-03-2022,90%,95%
E00400,Company_400,Healthcare,UI/UX Design,Large,Berlin,18,266655,4.6,37,05-01-2021,80%,100%
E00401,Company_401,Retail,"React, Node.js",Medium,New York,88,117154,4.1,37,09-11-2018,91%,96%
E00402,Company_402,Healthcare,"React, Node.js",Large,London,79,335776,4.7,29,24-03-2019,95%,93%
E00403,Company_403,Manufacturing,"React, Node.js",Small,Berlin,10,489167,4.4,12,05-07-2017,98%,98%
E00404,Company_404,Manufacturing,"Python, Java",Large,New York,78,315409,4.5,3,21-01-2018,82%,91%
E00405,Company_405,Healthcare,Data Analysis,Small,London,81,223556,3.7,38,06-04-2017,95%,90%
E00406,Company_406,Manufacturing,Data Analysis,Small,Tokyo,15,477428,4.7,3,18-01-2021,98%,98%
E00407,Company_407,Retail,Data Analysis,Small,San Francisco,48,448479,4.8,16,01-05-2015,81%,97%
E00408,Company_408,Manufacturing,"React, Node.js",Medium,San Francisco,10,20253,3.8,35,28-10-2016,95%,94%
E00409,Company_409,Manufacturing,"Python, Java",Large,Tokyo,37,245472,4.9,3,23-01-2015,100%,93%
E00410,Company_410,Finance,Project Management,Small,San Francisco,33,209334,4.1,38,08-12-2016,80%,93%
E00411,Company_411,Healthcare,"Python, Java",Medium,Berlin,42,117331,3.7,38,08-04-2022,100%,90%
E00412,Company_412,Tech,UI/UX Design,Large,London,19,465168,3.9,41,09-11-2022,84%,97%
E00413,Company_413,Tech,UI/UX Design,Large,Tokyo,69,79040,4,29,28-09-2015,85%,94%
E00414,Company_414,Manufacturing,Data Analysis,Medium,Tokyo,47,115521,4.3,29,21-10-2021,94%,99%
E00415,Company_415,Tech,"Python, Java",Small,Berlin,87,155648,4.4,30,26-01-2017,100%,96%
E00416,Company_416,Finance,"React, Node.js",Small,Tokyo,12,433612,4.2,12,16-09-2017,89%,95%
E00417,Company_417,Finance,Project Management,Medium,New York,63,170341,3.6,36,25-12-2016,99%,98%
E00418,Company_418,Finance,"React, Node.js",Small,London,67,235583,4.8,9,26-01-2019,83%,91%
E00419,Company_419,Tech,Project Management,Medium,San Francisco,16,342765,3.7,29,29-04-2017,88%,98%
E00420,Company_420,Healthcare,UI/UX Design,Large,London,54,176058,4.9,13,03-12-2020,94%,98%
E00421,Company_421,Healthcare,Project Management,Medium,San Francisco,20,298682,3.9,43,10-10-2021,98%,94%
E00422,Company_422,Manufacturing,"React, Node.js",Medium,San Francisco,24,206139,4.9,27,19-01-2017,100%,94%
E00423,Company_423,Manufacturing,UI/UX Design,Small,New York,26,236305,4.9,43,20-04-2015,83%,100%
E00424,Company_424,Healthcare,UI/UX Design,Large,San Francisco,64,226257,4.9,44,01-06-2016,85%,99%
E00425,Company_425,Finance,Project Management,Small,Tokyo,67,129174,3.7,14,10-09-2018,93%,93%
E00426,Company_426,Tech,UI/UX Design,Medium,San Francisco,59,339893,4.9,11,25-12-2015,84%,97%
E00427,Company_427,Retail,Data Analysis,Medium,San Francisco,49,219067,3.7,18,15-11-2017,89%,95%
E00428,Company_428,Manufacturing,Data Analysis,Large,New York,20,28898,4.7,21,04-07-2016,91%,94%
E00429,Company_429,Tech,"React, Node.js",Medium,Tokyo,86,399484,3.6,50,03-12-2022,87%,95%
E00430,Company_430,Manufacturing,Data Analysis,Large,Berlin,35,97003,4.3,36,10-05-2018,96%,98%
E00431,Company_431,Healthcare,"Python, Java",Large,Tokyo,53,474170,4.2,20,04-06-2022,81%,99%
E00432,Company_432,Tech,UI/UX Design,Medium,Berlin,40,20606,4.8,4,03-03-2022,80%,92%
E00433,Company_433,Manufacturing,Data Analysis,Large,London,56,124927,3.7,42,06-02-2018,96%,94%
E00434,Company_434,Healthcare,Project Management,Large,London,94,16292,3.8,49,05-04-2018,97%,94%
E00435,Company_435,Manufacturing,"React, Node.js",Large,San Francisco,74,378634,4.3,19,21-05-2017,97%,96%
E00436,Company_436,Healthcare,"Python, Java",Medium,Tokyo,87,254811,4,29,19-05-2021,93%,99%
E00437,Company_437,Healthcare,"React, Node.js",Large,Tokyo,67,350858,3.9,37,20-08-2015,100%,97%
E00438,Company_438,Retail,Project Management,Medium,San Francisco,22,70386,4.4,5,24-07-2017,95%,99%
E00439,Company_439,Tech,"React, Node.js",Large,Berlin,27,341206,3.8,18,07-12-2020,83%,97%
E00440,Company_440,Manufacturing,Project Management,Small,London,18,14116,4.1,37,21-07-2019,82%,91%
E00441,Company_441,Manufacturing,"Python, Java",Large,London,24,222090,4.3,21,16-05-2020,90%,95%
E00442,Company_442,Retail,UI/UX Design,Small,Tokyo,76,482009,4.3,44,25-10-2018,91%,95%
E00443,Company_443,Tech,"React, Node.js",Small,London,32,397626,3.8,39,11-10-2019,89%,93%
E00444,Company_444,Tech,Project Management,Small,Tokyo,65,262597,4.4,11,04-07-2019,87%,100%
E00445,Company_445,Tech,Project Management,Small,New York,91,295625,3.5,26,13-07-2018,81%,90%
E00446,Company_446,Finance,"Python, Java",Medium,San Francisco,89,284304,3.6,44,03-12-2019,88%,93%
E00447,Company_447,Finance,Project Management,Small,London,23,157234,4.6,25,26-06-2022,86%,96%
E00448,Company_448,Tech,Project Management,Medium,San Francisco,25,43518,4.8,22,21-06-2021,80%,99%
E00449,Company_449,Tech,Data Analysis,Small,San Francisco,23,283502,3.9,23,10-02-2018,87%,100%
E00450,Company_450,Manufacturing,"Python, Java",Medium,San Francisco,86,219720,4.5,44,08-11-2016,89%,100%
E00451,Company_451,Retail,"Python, Java",Medium,Tokyo,68,333419,4.2,17,31-01-2022,85%,99%
E00452,Company_452,Finance,Data Analysis,Medium,New York,57,171178,3.7,9,22-11-2022,91%,91%
E00453,Company_453,Retail,"Python, Java",Large,New York,84,122579,4.2,21,19-12-2015,80%,91%
E00454,Company_454,Retail,UI/UX Design,Small,London,86,198619,3.7,18,15-02-2021,85%,97%
E00455,Company_455,Healthcare,Project Management,Medium,Berlin,36,201456,4.4,33,02-09-2020,93%,93%
E00456,Company_456,Healthcare,UI/UX Design,Large,San Francisco,82,61341,4.7,4,11-07-2021,94%,91%
E00457,Company_457,Manufacturing,Project Management,Large,San Francisco,78,320548,3.7,31,10-11-2021,83%,95%
E00458,Company_458,Finance,"Python, Java",Small,Berlin,32,234834,3.7,7,21-11-2022,81%,99%
E00459,Company_459,Manufacturing,Data Analysis,Medium,San Francisco,77,237283,4.2,4,29-12-2020,94%,93%
E00460,Company_460,Finance,"Python, Java",Large,London,97,211883,4.7,39,29-12-2021,86%,94%
E00461,Company_461,Retail,"Python, Java",Large,San Francisco,94,460006,4.9,31,18-05-2021,86%,96%
E00462,Company_462,Healthcare,"Python, Java",Large,San Francisco,34,110218,4.5,33,01-07-2021,83%,93%
E00463,Company_463,Healthcare,"React, Node.js",Small,Berlin,86,397456,4.4,35,04-01-2016,81%,92%
E00464,Company_464,Healthcare,UI/UX Design,Medium,New York,26,263954,4.5,5,19-04-2020,90%,93%
E00465,Company_465,Healthcare,"Python, Java",Large,Berlin,81,271029,4.3,36,12-07-2017,95%,94%
E00466,Company_466,Retail,Project Management,Medium,New York,23,187716,4.1,22,26-11-2016,90%,98%
E00467,Company_467,Manufacturing,"React, Node.js",Medium,New York,20,151184,4.5,24,11-11-2022,82%,98%
E00468,Company_468,Finance,UI/UX Design,Large,New York,72,345855,4,7,14-02-2016,83%,99%
E00469,Company_469,Manufacturing,UI/UX Design,Small,San Francisco,75,367438,4.5,18,03-08-2022,82%,100%
E00470,Company_470,Healthcare,Data Analysis,Small,San Francisco,24,242324,3.8,8,30-01-2019,98%,98%
E00471,Company_471,Healthcare,"React, Node.js",Large,Tokyo,35,422943,4,20,31-01-2021,86%,94%
E00472,Company_472,Retail,UI/UX Design,Large,San Francisco,26,366727,4.2,44,23-09-2019,90%,95%
E00473,Company_473,Manufacturing,"React, Node.js",Large,San Francisco,24,171804,4.3,12,19-10-2018,87%,92%
E00474,Company_474,Healthcare,UI/UX Design,Small,Berlin,41,393094,3.7,49,05-02-2015,85%,98%
E00475,Company_475,Retail,"Python, Java",Large,Tokyo,90,138847,4.3,30,03-04-2020,92%,97%
E00476,Company_476,Tech,"React, Node.js",Medium,London,57,194363,3.8,46,01-08-2017,82%,100%
E00477,Company_477,Tech,"Python, Java",Medium,Berlin,77,255613,3.6,44,04-06-2018,90%,92%
E00478,Company_478,Healthcare,UI/UX Design,Small,Berlin,60,385156,3.5,3,17-04-2022,87%,97%
E00479,Company_479,Tech,"React, Node.js",Large,San Francisco,80,99571,4.3,24,15-04-2018,98%,91%
E00480,Company_480,Tech,UI/UX Design,Small,London,48,345904,4,13,13-04-2020,90%,99%
E00481,Company_481,Manufacturing,"React, Node.js",Medium,London,67,143870,4.3,46,17-12-2019,91%,91%
E00482,Company_482,Manufacturing,"Python, Java",Small,Berlin,76,474386,3.5,50,25-09-2021,86%,99%
E00483,Company_483,Retail,Data Analysis,Medium,London,67,363004,4.5,44,23-12-2015,92%,97%
E00484,Company_484,Finance,"React, Node.js",Large,New York,65,98768,3.9,40,30-10-2020,88%,97%
E00485,Company_485,Manufacturing,"React, Node.js",Small,New York,11,368135,4,4,12-06-2018,89%,94%
E00486,Company_486,Finance,UI/UX Design,Small,Berlin,49,284028,3.6,9,08-03-2015,80%,95%
E00487,Company_487,Manufacturing,"React, Node.js",Medium,Berlin,6,458569,4.7,44,29-06-2022,95%,92%
E00488,Company_488,Manufacturing,"React, Node.js",Small,London,45,467598,3.9,10,08-01-2017,94%,95%
E00489,Company_489,Manufacturing,Data Analysis,Large,New York,74,474012,4.9,50,01-06-2019,80%,93%
E00490,Company_490,Healthcare,Project Management,Medium,San Francisco,55,324328,4.1,18,31-12-2015,96%,94%
E00491,Company_491,Tech,UI/UX Design,Small,Tokyo,64,313856,3.7,35,17-02-2021,96%,98%
E00492,Company_492,Retail,Data Analysis,Medium,Tokyo,90,97320,5,37,18-12-2017,86%,96%
E00493,Company_493,Healthcare,UI/UX Design,Large,London,81,379719,5,39,11-12-2019,96%,98%
E00494,Company_494,Finance,UI/UX Design,Medium,Berlin,65,8612,4.1,9,08-12-2020,96%,95%
E00495,Company_495,Finance,Project Management,Small,London,43,14920,4.4,42,23-10-2015,88%,92%
E00496,Company_496,Retail,Project Management,Large,San Francisco,14,78959,4.7,36,14-10-2018,99%,97%
E00497,Company_497,Tech,"React, Node.js",Small,New York,9,410300,4.1,21,28-07-2019,93%,97%
E00498,Company_498,Retail,UI/UX Design,Medium,San Francisco,5,493604,4.1,45,03-12-2018,86%,98%
E00499,Company_499,Tech,Project Management,Small,Tokyo,23,485807,4.7,14,09-08-2021,92%,91%
E00500,Company_500,Healthcare,"React, Node.js",Medium,San Francisco,96,313582,4.6,25,04-09-2019,96%,92%
